outlet,month,year,text_polarity,text_bias,head_polarity,head_bias
NYT,7,2017,0.0066,0.547,0,0
NYT,8,2020,0.0246,0.4654,0,0
NYT,5,2019,0.0407,0.4374,0.2,0.6
NYT,3,2021,0.0513,0.4993,0.5,1
NYT,11,2021,0.1023,0.411,-0.5,0.5
NYT,5,2021,0.0908,0.4407,0,0
NYT,9,2019,0.0655,0.4567,0.0182,0.2773
NYT,5,2019,0.0658,0.4255,0.5,1
NYT,5,2019,0.0251,0.465,0.5,1
NYT,1,2022,0.0059,0.4783,0,0
NYT,4,2021,0.0761,0.4206,0,0
NYT,7,2021,0.117,0.4751,0,0
NYT,9,2019,0.0576,0.4735,-0.4,0.7
NYT,5,2018,0.1108,0.4811,0,0
NYT,11,2021,0.057,0.4953,0.1364,0.4545
NYT,10,2020,0.0523,0.4067,0,0
NYT,6,2019,0.0826,0.4477,0,0
NYT,4,2018,0.0563,0.4296,0,0.1
NYT,5,2017,0.1185,0.4388,0,0
CNN,12,2020,0.1141,0.4561,0,0
CNN,11,2020,0.0985,0.4623,0.2,0.6
CNN,8,2020,0.0632,0.5397,-0.5,1
CNN,1,2020,0.0654,0.4089,0.2,0.4667
CNN,1,2020,0.0979,0.455,0.5,1
CNN,1,2020,0.0199,0.4321,0.03,0.37
CNN,12,2019,0.0417,0.4572,0.5,1
CTV,3,2022,0.0806,0.4401,0.1364,0.4545
CTV,3,2022,0.1591,0.4602,0,0
CTV,1,2022,0.089,0.4613,0.0636,0.3727
CTV,12,2021,0.1604,0.4718,0.15,0.45
CTV,10,2021,0.0564,0.4618,-0.1,0.2
CTV,10,2021,0.0752,0.4011,0.5,0.5
CTV,6,2021,0.1505,0.5549,0.5,1
CTV,6,2021,0.1029,0.4612,0,0
CTV,4,2021,0.0307,0.4152,0.1364,0.4545
CTV,1,2021,0.0725,0.4904,0,0
CTV,1,2021,0.017,0.4264,0.5,1
CTV,11,2020,0.1459,0.4559,0.15,0.5
CTV,2,2020,0.0554,0.453,0,0
CTV,1,2020,0.0979,0.455,0.5,1
CTV,9,2019,0.1379,0.4338,0,0.05
CTV,3,2019,0.0559,0.4522,0,0
Fox News,9,2020,0.0377,0.4309,0.5,1
Fox News,11,2020,0.1285,0.5611,0.5,1
Fox News,6,2020,0.2225,0.4433,0,0
Fox News,11,2021,0.067,0.4157,0.5,1
Fox News,6,2019,0.0612,0.3753,0.35,0.55
Fox News,11,2020,0.1381,0.3406,0.5,1
Fox News,1,2017,0.0818,0.4492,0.1364,0.4545
Fox News,10,2021,0.0844,0.4952,0,0
Fox News,3,2019,0.0559,0.4522,0,0
Fox News,7,2020,0.1279,0.4475,0.5,1
Fox News,11,2020,-0.0632,0.4757,-0.0208,0.4375
CBC,3,2022,0.1083,0.4748,0.5,1
CBC,2,2022,0.0722,0.4277,0.2667,0.5333
CBC,12,2021,0.1388,0.4198,0.0333,0.0667
CBC,3,2022,0.0606,0.4064,0.5,1
CBC,8,2020,0.134,0.4445,0.2667,0.5333
CBC,6,2021,0.0638,0.4689,0.1167,0.1333
CBC,7,2021,0.0517,0.4535,0.2667,0.5333
CBC,1,2021,0.0238,0.4237,0.5,1
CBC,6,2021,0.0937,0.3967,0.0182,0.3273
CBC,4,2021,0.096,0.5031,0.3,0.9
CBC,2,2021,-0.0047,0.387,0.2944,0.4333
CBC,8,2021,0.062,0.4453,0.5,1
CBC,3,2021,0.1543,0.5268,0.1778,0.3
CBC,2,2022,0.1619,0.4831,0.0333,0.0667
CBC,4,2017,0.0804,0.5458,0,0
CBC,12,2020,0.1449,0.4852,0.2667,0.5333
CBC,12,2020,0.0139,0.5194,0.4,0.4
CBC,2,2021,0.0967,0.4545,0,0
CBC,8,2020,0.1518,0.4574,0.3167,0.5111
CBC,1,2021,0.1418,0.4012,0.35,0.6
CBC,6,2021,0.0134,0.3852,0.5,1
CBC,7,2020,0.0646,0.5319,0.5,1